Country;Number of firms;Aggregate Market Cap;Aggregate Total Debt;Aggregate Firm Value;Aggregate Cash;Aggregate Enterprise Value;Average of Current PE;Average of Trailing PE;Average of Forward PE;Average of PEG;Average of PBV;Average of PS;Average of Cash/ Firm Value;Average of EV/EBIT;Average of EV/EBITDA;Average of EV/Invested Capital;Average of EV/Sales;Aggregate PE;Aggregate PBV;Aggregate EV/EBITDA;Aggregate EV/Invested Capital;Aggregate EV/Sales;Average of Payout ratio;Average of Dividend Yield;Average of Historical growth in Net Income - Last 5 years;Average of Historical growth in Revenues - Last 5 years;Average of Expected growth rate in EPS- Next 5 years;Average of Expected growth in revenues - Next 2 years;Average of Return on Equity;Average of Return on Capital (ROC or ROIC);Average of Net Profit Margin;Average of Pre-tax Operating Margin;Average of Effective Tax Rate;Average of % held by institutions
Anguilla;1;$27;$0;$27;$1;$26;NA;4466.67;NA;NA;11.55;18.87;2.15%;NA;NA;15.03;18.47;NA;8.23;NA;11.73;14.41;0.00%;0.00%;NA;3.66%;NA;NA;0.19%;-0.88%;0.38%;-1.25%;14.29%;NA
Argentina;63;$34,513;$16,096;$50,609;$4,870;$45,739;20.22;21.45;19.05;2.50;1.44;1.37;8.91%;23.63;8.47;1.64;1.69;7.16;1.23;4.92;1.35;0.99;28.02%;2.31%;22.60%;19.96%;20.80%;16.13%;7.38%;16.87%;7.18%;5.71%;24.31%;8.54%
Australia;1458;$1,382,264;$1,186,234;$2,568,498;$226,840;$2,341,658;29.30;28.62;18.56;2.73;3.05;329.73;21.63%;55.70;21.21;8.34;245.30;15.07;1.97;16.87;1.84;2.93;68.19%;1.12%;7.73%;23.15%;12.57%;134.43%;-35.26%;-265.04%;-5380.72%;-4940.20%;7.52%;13.63%
Austria;80;$107,717;$190,638;$298,355;$35,240;$263,115;23.61;23.72;18.39;1.66;1.43;1.81;13.46%;19.48;23.63;21.87;4.90;12.42;0.92;14.68;1.05;1.70;42.54%;1.94%;-0.17%;8.80%;17.28%;7.27%;8.40%;9.53%;27.82%;-20.24%;16.20%;21.53%
Azerbaijan;1;$82;$15;$97;$3;$93;4.34;4.79;NA;NA;0.98;0.97;3.16%;3.10;1.72;0.98;1.12;5.36;1.23;1.97;1.04;1.30;0.00%;0.00%;NA;NA;NA;NA;25.60%;36.27%;22.58%;39.97%;39.07%;1.82%
Bahamas;4;$1,453;$675;$2,128;$140;$1,988;12.53;9.34;12.10;1.38;1.19;3.64;4.75%;44.08;10.27;3.13;3.91;18.51;1.21;12.64;1.49;2.20;0.42%;0.04%;21.41%;18.60%;10.00%;4.81%;7.45%;21.14%;31.65%;35.90%;2.94%;36.07%
Bahrain;21;$11,362;$8,785;$20,147;$9,467;$10,680;29.92;11.24;10.92;NA;0.87;5.20;48.30%;13.18;12.08;0.04;6.31;10.51;0.87;9.50;0.93;2.06;54.19%;4.66%;-9.16%;-3.69%;-8.50%;0.38%;6.86%;5.84%;9.93%;2.99%;2.21%;16.20%
Bangladesh;238;$21,539;$5,280;$26,819;$4,130;$22,689;24.82;34.91;NA;NA;2.93;3.95;14.20%;16.40;13.99;4.52;4.74;13.85;2.81;18.62;4.19;3.51;24.84%;0.62%;28.24%;27.41%;NA;22.00%;121.59%;26.92%;19.66%;20.25%;17.01%;10.50%
Barbados;2;$2,179;$121;$2,300;$1,658;$643;183.45;22.40;NA;NA;0.75;2.31;68.77%;0.74;0.77;0.18;0.66;24.93;0.91;3.81;0.57;0.38;65.44%;3.02%;-24.05%;3.19%;NA;NA;3.68%;21.73%;8.88%;6.13%;15.61%;7.80%
Belgium;126;$275,935;$509,498;$785,433;$18,539;$766,894;46.98;30.27;15.98;2.52;1.85;184.70;7.18%;17.78;10.91;3.43;219.68;13.66;1.52;24.37;1.00;3.82;62.66%;1.79%;3.34%;2.87%;14.69%;29.43%;5.86%;15.20%;897.59%;-10.62%;13.63%;17.69%
