Country,Number of firms,Sum of Market Cap (in US $),Sum of Total Debt incl leases (in US $),Sum of Firm Value (in US $),Sum of Cash,Sum of Enterprise Value (in US $),Average of Current PE,Average of Trailing PE,Average of Forward PE,Average of PEG,Average of PBV,Average of PS,Average of Cash/ Firm Value,Average of EV/EBIT,Average of EV/EBITDA,Average of EV/Invested Capital,Average of EV/Sales,Average of Payout ratio,Average of Dividend Yield,Average of Historical growth in Net Income - Last 5 years,Average of Historical growth in Revenues - Last 5 years,Average of Expected growth rate in EPS- Next 5 years,Average of Expected growth in revenues - Next 2 years,Average of Return on Equity,Average of Return on Capital (ROC or ROIC),Average of Net Profit Margin,Average of Pre-tax Operating Margin,Average of Effective Tax Rate,Average of % held by institutions,Aggregate PE,Aggregate PBV,Aggregate EV/EBITDA,Aggregate EV/Invested Capital,Aggregate EV/Sales,Aggregate ROE,Aggregate ROC,Aggregate Net Margin,Aggregate Operating Margin,Aggregate Payout ratio,Aggregate Dividend Yield
Anguilla,1,$ 24.40,$ 0.03,$ 24.43,$ 0.59,$ 23.84,NA,NA,NA,NA,6.78,13.79,0.02,NA,NA,7.83,13.47,NA,0.00 %,NA,-17.50 %,NA,NA,-22.37 %,-25.41 %,-24.83 %,-21.58 %,0.00 %,NA,NA,6.78,NA,13.43,13.47,-1.98 %,-25.41 %,-2.20 %,-21.58 %,NA,0.00 %
Argentina,62,"$ 51,738.88","$ 19,533.87","$ 71,272.75","$ 6,272.17","$ 65,000.58",18.25,54.36,17.30,1.17,1.65,1.02,0.12,17.52,26.83,1.75,1.38,19.07 %,1.16 %,11.73 %,22.12 %,18.46 %,21.28 %,1.67 %,9.73 %,4.71 %,2.38 %,23.64 %,10.73 %,15.70,1.83,8.44,1.65,1.24,12.01 %,8.56 %,6.28 %,10.57 %,13.32 %,0.91 %
Australia,1415,"$ 1,352,751.72","$ 1,191,375.53","$ 2,544,127.25","$ 174,591.02","$ 2,369,536.24",35.22,33.58,19.59,13.98,4.36,NA,0.23,89.42,18.48,43.57,NA,55.67 %,1.19 %,7.19 %,10.50 %,12.68 %,146.81 %,-80.94 %,-90.04 %,-5639.40 %,-5405.29 %,7.32 %,14.91 %,26.23,1.96,18.37,1.48,2.96,7.38 %,3.80 %,6.52 %,10.91 %,112.70 %,3.90 %
Austria,72,"$ 120,850.37","$ 178,632.29","$ 299,482.66","$ 27,018.53","$ 272,464.14",39.39,92.00,21.23,1.63,1.46,3.39,0.17,21.67,22.16,2.13,12.12,47.58 %,2.11 %,-3.93 %,3.13 %,18.65 %,4.86 %,3.80 %,20.41 %,39.66 %,-4.93 %,15.19 %,19.03 %,14.64,0.97,13.17,1.06,1.49,7.77 %,4.03 %,4.35 %,7.43 %,56.58 %,3.31 %
Azerbaijan,1,$ 32.80,$ 46.70,$ 79.50,$ 0.34,$ 79.16,1.69,1.98,NA,NA,0.33,0.45,0.00,3.29,1.96,0.54,1.08,0.00 %,0.00 %,NA,NA,NA,NA,19.88 %,25.17 %,23.38 %,33.84 %,25.56 %,31.30 %,1.69,0.33,1.96,0.83,1.08,23.23 %,18.74 %,27.32 %,33.84 %,0.00 %,0.00 %
Bahamas,3,"$ 1,246.64",$ 650.70,"$ 1,897.34",$ 190.10,"$ 1,707.24",13.59,14.94,14.63,1.09,1.55,1.28,0.07,27.18,23.91,2.68,1.88,0.00 %,0.00 %,1.41 %,8.82 %,14.25 %,11.63 %,2.10 %,12.31 %,0.74 %,6.77 %,4.58 %,34.15 %,NA,1.55,16.05,1.80,1.52,-1.92 %,8.68 %,-0.85 %,7.41 %,0.00 %,0.00 %
Bahrain,21,"$ 14,683.40","$ 9,575.96","$ 24,259.36","$ 9,728.91","$ 14,530.45",16.25,17.36,13.44,1.40,1.05,4.51,0.46,7.27,6.00,1.15,6.70,44.40 %,3.74 %,-5.91 %,-5.92 %,26.55 %,7.30 %,8.52 %,6.12 %,8.53 %,-4.28 %,2.10 %,21.27 %,12.46,0.98,18.72,1.22,2.36,9.41 %,4.81 %,17.80 %,9.06 %,32.02 %,3.40 %
Bangladesh,254,"$ 25,584.97","$ 6,989.12","$ 32,574.10","$ 5,832.71","$ 26,741.39",32.26,31.06,12.22,1.22,3.38,4.58,0.18,136.90,13.35,28.50,5.28,43.99 %,0.95 %,12.21 %,10.89 %,11.90 %,10.20 %,61.04 %,252.43 %,-36.60 %,-38.68 %,19.00 %,10.47 %,14.36,2.12,12.32,2.47,2.60,18.18 %,12.48 %,16.88 %,18.13 %,36.48 %,2.33 %
Barbados,1,$ 339.30,$ 268.22,$ 607.52,$ 208.00,$ 399.52,32.63,NA,NA,NA,0.46,0.34,0.34,2.89,2.57,0.51,0.40,NA,3.48 %,NA,2.86 %,NA,NA,-4.01 %,31.55 %,-2.40 %,13.09 %,19.63 %,7.74 %,32.63,0.46,2.57,0.91,0.40,1.65 %,25.35 %,0.99 %,13.09 %,NA,3.48 %
Belgium,125,"$ 349,010.66","$ 479,893.71","$ 828,904.37","$ 23,134.25","$ 805,770.12",32.21,78.63,21.79,2.91,2.58,NA,0.07,26.70,25.04,2.88,NA,29.86 %,1.33 %,-4.79 %,1.91 %,10.45 %,4.62 %,-2.46 %,-0.43 %,1453.64 %,-237.85 %,13.72 %,16.20 %,27.95,2.06,23.15,1.25,3.69,8.56 %,3.28 %,5.68 %,11.72 %,24.13 %,1.34 %
Belize,4,$ 26.73,$ 0.40,$ 27.13,$ 135.79,-$ 108.66,45.00,110.77,NA,NA,0.37,1.01,1.93,NA,NA,0.46,NA,0.00 %,0.00 %,NA,-25.50 %,NA,NA,-7.68 %,0.00 %,-163.35 %,1.24 %,0.00 %,2.82 %,NA,0.30,NA,NA,-5.46,-16.35 %,NA,-134.08 %,0.21 %,NA,0.00 %
Benin,1,$ 127.40,$ 0.00,$ 127.40,$ 0.00,$ 127.40,8.11,8.11,NA,NA,NA,2.99,0.00,97.25,NA,NA,2.99,12.93 %,1.59 %,19.50 %,5.70 %,NA,NA,14.85 %,1.36 %,36.85 %,3.08 %,4.89 %,2.71 %,8.11,NA,NA,1.33,2.99,14.85 %,1.30 %,36.85 %,3.08 %,12.93 %,1.59 %
Bermuda,89,"$ 251,069.12","$ 104,203.94","$ 355,273.05","$ 31,172.60","$ 324,100.45",21.22,25.76,21.95,3.17,1.41,NA,0.15,-13.43,49.32,1.49,NA,61.48 %,2.07 %,9.34 %,2.86 %,15.92 %,9.66 %,3.45 %,109.56 %,-1174.48 %,-840.14 %,6.76 %,41.84 %,16.86,1.24,11.23,1.36,2.04,8.67 %,8.46 %,9.35 %,14.55 %,35.28 %,2.16 %
Botswana,17,"$ 4,534.56","$ 1,737.64","$ 6,272.20",$ 874.17,"$ 5,398.03",11.89,12.75,12.91,0.95,2.80,2.07,0.18,80.42,8.10,4.14,2.72,51.47 %,4.11 %,10.60 %,18.04 %,-24.23 %,NA,19.47 %,26.99 %,17.58 %,-7.84 %,17.22 %,25.95 %,10.33,2.60,31.49,2.41,2.15,28.45 %,-5.32 %,17.08 %,-4.64 %,45.77 %,3.94 %
Brazil,175,"$ 491,846.90","$ 404,263.06","$ 896,109.96","$ 62,441.02","$ 833,668.93",111.67,34.11,17.79,31.75,2.65,2.53,0.10,29.75,13.89,2.91,4.04,68.25 %,2.84 %,16.60 %,15.84 %,13.17 %,21.05 %,4.21 %,11.87 %,-107.17 %,-58.55 %,16.87 %,32.11 %,26.01,2.30,19.25,1.80,2.82,9.28 %,4.82 %,6.30 %,10.40 %,87.99 %,2.90 %
British Virgin Islands,14,"$ 3,788.35",$ 900.31,"$ 4,688.65",$ 315.12,"$ 4,373.53",65.26,44.12,28.08,2.70,2.30,54.65,0.27,25.94,30.56,5.85,51.29,49.25 %,0.29 %,NA,-1.65 %,20.00 %,31.06 %,-12.62 %,-3.47 %,-2782.27 %,-2888.80 %,1.61 %,29.66 %,NA,2.37,46.12,2.23,0.88,-33.79 %,4.20 %,-13.25 %,1.80 %,NA,1.37 %
Bulgaria,92,"$ 4,604.49","$ 3,775.97","$ 8,380.46","$ 2,284.84","$ 6,095.62",50.09,30.62,19.53,NA,1.47,13.33,0.08,13.08,10.01,1.41,13.28,9.74 %,1.44 %,5.01 %,7.22 %,NA,10.22 %,-46.89 %,8.16 %,5.99 %,0.69 %,2.61 %,8.92 %,19.66,1.25,11.70,1.36,0.91,8.67 %,7.70 %,3.44 %,5.67 %,8.13 %,0.41 %
Burkina Faso,3,$ 670.40,$ 0.19,$ 670.59,$ 10.50,$ 660.09,15.33,13.26,NA,NA,1.57,NA,0.12,115.46,4.28,2.24,NA,42.26 %,2.19 %,41.20 %,24.50 %,5.00 %,NA,-54.73 %,-2212.10 %,-40482.35 %,-40219.38 %,17.98 %,23.02 %,838.00,35.28,10.40,604.98,2.39,1.80 %,1010.63 %,0.28 %,9.48 %,57.19 %,2.00 %
Cambodia,2,"$ 2,405.93",$ 15.77,"$ 2,421.70",$ 66.30,"$ 2,355.40",21.26,19.45,15.22,1.47,4.24,8.62,0.01,18.51,17.26,4.56,8.44,51.54 %,1.32 %,17.30 %,9.62 %,14.50 %,20.60 %,33.17 %,38.74 %,41.45 %,42.65 %,1.87 %,15.24 %,21.27,4.25,17.27,7.18,8.45,30.35 %,37.30 %,37.93 %,42.65 %,51.54 %,2.65 %
Cameroon,1,"$ 1,011.70",$ 0.00,"$ 1,011.70",$ 0.00,"$ 1,011.70",NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA,NA,NA,0.00 %,NA,NA,NA,NA,NA,NA,NA,NA,0.00 %,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00 %
Canada,2927,"$ 1,837,239.64","$ 1,204,206.48","$ 3,041,446.12","$ 158,712.73","$ 2,882,733.39",170.82,55.62,27.65,7.49,3.87,NA,0.19,74.39,68.54,17.49,NA,53.45 %,10.45 %,9.29 %,8.57 %,11.58 %,47.33 %,-119.25 %,-750.83 %,-2362.50 %,-1828.37 %,4.18 %,16.82 %,22.91,1.69,14.16,1.49,2.45,8.37 %,4.11 %,6.93 %,9.24 %,84.01 %,2.58 %
